campaign,trt,plot,gt,pi
1,C,C2,5,279
1,C,C14,7,352
1,C,C14,7,294
1,C,C14,7,457
1,C,C15,1,355
1,C,C15,1,410
1,C,C15,1,335
1,C,C16,3,
1,C,C16,3,
1,C,C16,3,
1,C,C17,7,348
1,C,C17,7,336
1,C,C17,7,344
1,C,C18,3,301
1,C,C18,3,521
1,C,C18,3,451
1,C,C19,5,296
1,C,C19,5,313
1,C,C19,5,
1,C,C20,4,291
1,C,C20,4,314
1,C,C20,4,395
1,C,C21,6,368
1,C,C21,6,452
1,C,C21,6,330
1,C,C22,8,334
1,C,C22,8,
1,C,C22,8,
1,C,C23,2,265
1,C,C23,2,462
1,C,C23,2,
1,C,C24,1,343
1,C,C24,1,279
1,C,C24,1,
1,C,C25,1,324
1,C,C25,1,269
1,C,C25,1,
1,C,C26,4,417
1,C,C26,4,299
1,C,C26,4,
1,C,C27,3,292
1,C,C28,7,592
1,C,C28,7,355
1,C,C28,7,358
1,C,C29,5,392
1,C,C29,5,
1,C,C29,5,366
1,C,C30,2,322
1,C,C30,2,322
1,C,C30,2,253
1,C,C31,8,335
1,C,C31,8,408
1,C,C31,8,401
1,C,C32,6,377
1,C,C32,6,323
1,C,C32,6,339
1,D,D2,5,347
1,D,D14,7,368
1,D,D14,7,475
1,D,D14,7,292
1,D,D15,1,319
1,D,D15,1,473
1,D,D15,1,337
1,D,D16,3,648
1,D,D16,3,356
1,D,D16,3,425
1,D,D17,7,339
1,D,D18,3,546
1,D,D18,3,445
1,D,D19,5,445
1,D,D19,5,397
1,D,D19,5,
1,D,D20,4,402
1,D,D20,4,365
1,D,D20,4,731
1,D,D21,6,324
1,D,D21,6,364
1,D,D21,6,808
1,D,D22,8,422
1,D,D22,8,353
1,D,D22,8,434
1,D,D23,2,363
1,D,D23,2,301
1,D,D23,2,294
1,D,D24,1,333
1,D,D24,1,491
1,D,D24,1,350
1,D,D25,1,306
1,D,D25,1,292
1,D,D25,1,376
1,D,D26,4,399
1,D,D26,4,383
1,D,D26,4,301
1,D,D27,3,283
1,D,D27,3,
1,D,D27,3,318
1,D,D28,7,321
1,D,D28,7,342
1,D,D28,7,350
1,D,D29,5,390
1,D,D29,5,355
1,D,D29,5,433
1,D,D30,2,280
1,D,D30,2,360
1,D,D30,2,364
1,D,D31,8,350
1,D,D31,8,405
1,D,D31,8,274
1,D,D32,6,365
1,D,D32,6,379
1,D,D32,6,415
2,C,C1,3,597
2,C,C1,3,442
2,C,C1,3,549
2,C,C2,5,485
2,C,C2,5,493
2,C,C2,5,510
2,C,C3,6,505
2,C,C3,6,595
2,C,C3,6,537
2,C,C4,2,649
2,C,C4,2,554
2,C,C4,2,439
2,C,C5,4,465
2,C,C5,4,321
2,C,C5,4,326
2,C,C6,1,505
2,C,C6,1,425
2,C,C6,1,560
2,C,C7,7,430
2,C,C7,7,529
2,C,C7,7,570
2,C,C8,8,535
2,C,C8,8,321
2,C,C8,8,318
2,C,C9,8,309
2,C,C9,8,475
2,C,C9,8,578
2,C,C10,6,466
2,C,C10,6,464
2,C,C10,6,565
2,C,C11,4,339
2,C,C11,4,354
2,C,C11,4,485
2,C,C12,5,457
2,C,C12,5,372
2,C,C12,5,364
2,C,C13,2,344
2,C,C13,2,549
2,C,C13,2,542
2,C,C14,7,517
2,C,C14,7,387
2,C,C14,7,351
2,C,C15,1,390
2,C,C15,1,465
2,C,C15,1,442
2,C,C16,3,398
2,C,C16,3,414
2,C,C16,3,357
2,C,C17,7,452
2,C,C17,7,357
2,C,C17,7,383
2,C,C18,3,464
2,C,C18,3,400
2,C,C18,3,465
2,C,C19,5,388
2,C,C19,5,506
2,C,C19,5,564
2,C,C20,4,443
2,C,C20,4,387
2,C,C20,4,382
2,C,C21,6,540
2,C,C21,6,484
2,C,C21,6,614
2,C,C22,8,410
2,C,C22,8,498
2,C,C22,8,435
2,C,C23,2,396
2,C,C23,2,513
2,C,C23,2,481
2,C,C24,1,514
2,C,C24,1,513
2,C,C24,1,367
2,C,C25,1,506
2,C,C25,1,439
2,C,C25,1,474
2,C,C26,4,644
2,C,C26,4,269
2,C,C26,4,355
2,C,C27,3,297
2,C,C27,3,563
2,C,C27,3,350
2,C,C28,7,421
2,C,C28,7,422
2,C,C28,7,
2,C,C29,5,248
2,C,C29,5,309
2,C,C29,5,376
2,C,C30,2,334
2,C,C30,2,374
2,C,C30,2,472
2,C,C31,8,449
2,C,C31,8,597
2,C,C31,8,436
2,C,C32,6,466
2,C,C32,6,440
2,C,C32,6,585
2,D,D13,2,697
2,D,D13,2,522
2,D,D13,2,512
2,D,D14,7,475
2,D,D14,7,544
2,D,D14,7,564
2,D,D15,1,549
2,D,D15,1,456
2,D,D15,1,500
2,D,D16,3,557
2,D,D16,3,480
2,D,D16,3,524
2,D,D17,7,457
2,D,D17,7,443
2,D,D17,7,501
2,D,D18,3,450
2,D,D18,3,470
2,D,D18,3,539
2,D,D19,5,428
2,D,D19,5,486
2,D,D19,5,672
2,D,D20,4,400
2,D,D20,4,548
2,D,D20,4,472
2,D,D21,6,556
2,D,D21,6,597
2,D,D21,6,468
2,D,D22,8,630
2,D,D22,8,545
2,D,D22,8,557
2,D,D23,2,445
2,D,D23,2,398
2,D,D23,2,427
2,D,D24,1,423
2,D,D24,1,422
2,D,D24,1,399
2,D,D25,1,517
2,D,D25,1,529
2,D,D25,1,443
2,D,D26,4,388
2,D,D26,4,526
2,D,D26,4,477
2,D,D27,3,522
2,D,D27,3,484
2,D,D27,3,499
2,D,D28,7,424
2,D,D28,7,582
2,D,D28,7,487
2,D,D29,5,506
2,D,D29,5,448
2,D,D29,5,351
2,D,D30,2,352
2,D,D30,2,417
2,D,D30,2,486
2,D,D31,8,430
2,D,D31,8,334
2,D,D31,8,481
2,D,D32,6,473
2,D,D32,6,362
2,D,D32,6,571
2,D,D1,3,465
2,D,D1,3,536
2,D,D1,3,517
2,D,D2,5,463
2,D,D2,5,498
2,D,D2,5,376
2,D,D3,6,482
2,D,D3,6,869
2,D,D3,6,429
2,D,D4,2,452
2,D,D4,2,452
2,D,D4,2,574
2,D,D5,4,444
2,D,D5,4,453
2,D,D5,4,469
2,D,D6,1,374
2,D,D6,1,390
2,D,D6,1,467
2,D,D7,7,451
2,D,D7,7,482
2,D,D7,7,401
2,D,D8,8,484
2,D,D8,8,434
2,D,D8,8,505
2,D,D9,8,724
2,D,D9,8,432
2,D,D9,8,405
2,D,D10,6,459
2,D,D10,6,426
2,D,D10,6,441
2,D,D11,4,403
2,D,D11,4,328
2,D,D11,4,384
2,D,D12,5,343
2,D,D12,5,421
2,D,D12,5,575
